Collection Name,Title#1,Title#1$1,Title#1$2,Creator#1,Creator#2$2,Creator#2$1,Creator#2,Creator#3,Subject#1$10,Subject#1$11,Subject#1$12,Subject#1$13,Subject#1$14,Subject#1$15,Subject#1$1,Subject#1$3,Subject#1$2,Subject#1$5,Subject#1$4,Subject#1$7,Subject#1$6,Subject#1$9,Subject#1$8,Subject#1,Subject#2,Subject#2$2,Subject#2$1,Subject#2$3,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10,Subject#11,Description#1,Description Type#1,Description#2,Description Type#2,Description#3,Description Type#3,Description#4,Description#5,Description#6,Publisher#1,Contributor#1,Contributor#1$1,Contributor#1$2,Contributor#1$5,Contributor#1$3,Contributor#1$4,Contributor#2$1,Contributor#2$2,Contributor#2$3,Contributor#2,Contributor#3,Contributor#4,Contributor#5,Contributor#6,Contributor#7,Date#1$1,Date#1$3,Date#1$2,Date#1,Type#1,Format#1,Identifier#1,Source#1,Language#1,Relation#1,Relation Type#1,Relation href#1,Relation#2,Relation Type#2,Relation href#2,Relation#3,Relation Type#3,Relation href#3,Relation#4,Relation Type#4,Relation href#4,Relation#5,Relation Type#5,Relation href#5,Relation#6,Relation Type#6,Relation href#6,Coverage (Spatial)#1,Coverage (Spatial)#1$14,Coverage (Spatial)#1$15,Coverage (Spatial)#1$10,Coverage (Spatial)#1$11,Coverage (Spatial)#1$12,Coverage (Spatial)#1$13,Coverage (Spatial)#1$3,Coverage (Spatial)#1$4,Coverage (Spatial)#1$1,Coverage (Spatial)#1$2,Coverage (Spatial)#1$7,Coverage (Spatial)#1$8,Coverage (Spatial)#1$5,Coverage (Spatial)#1$6,Coverage (Spatial)#1$9,Coverage (Temporal)#1$1,Coverage (Temporal)#1$2,Coverage (Temporal)#1,Coverage (Spatial)#2,Coverage (Temporal)#2,Coverage (Temporal)#3,Coverage (Temporal)#4,Rights#1,Editing notes#1$1,Editing notes#1$2,Editing notes#1,Sort#1,Editing notes#2,Sort#2,Editing notes#3,Sort#3
Colorado Coal Project,"Rock Springs, Wyo. 1896",,,,,,,,,,,,,,,,,,,,,,,animals,parades & fairs,,,,,,,,,,,,,Parade scenes with Dragon (Chinese),,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1896,Image,jpeg,RME2-14,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Other,,,,,,,,,,,,,,,,,,,,1900s,1890s,,,,,,,,,,
Colorado Coal Project,"Rock Springs, Wyo. 1896",,,,,,,,,,,,,,,,,,,,,,,children,ethnic groups,,,,,,,,,,,,,"Parade Scenes, Chinatown",,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1896,Image,jpeg,RME2-17,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1890s,,,,,,,,,,,
Colorado Coal Project,"Rock Springs, Wyo. 1896",,,,,,,,,,,,,,,,,,,,,,,children,ethnic groups,,,,,,,,,,,,,"Parade Scenes, Chinatown",,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1896,Image,jpeg,RME2-18,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1890s,,,,,,,,,,,
Colorado Coal Project,"Rock Springs, Wyo. 1896",,,,,,,,,,,,,,,,,,,,,,,children,ethnic groups,,,,,,,,,,,,,"Parade Scenes, Chinatown",,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1896,Image,jpeg,RME2-20,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1890s,,,,,,,,,,,
Colorado Coal Project,"Rock Springs, Wyo. 1896",,,,,,,,,,,,,,,,,,,,,,,children,ethnic groups,,,,,,,,,,,,,"Parade Scenes, Chinatown",,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1896,Image,jpeg,RME2-21,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1890s,,,,,,,,,,,
Colorado Coal Project,"Rock Springs, Wyo. 1896",,,,,,,,,,,,,,,,,,,,,,,animals,parades & fairs,,,,,,,,,,,,,Parade scenes with Dragon (Chinese),,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1896,Image,jpeg,RME2-23,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Other,,,,,,,,,,,,,,,,,,,,1900s,1890s,,,,,,,,,,
Colorado Coal Project,"Rock Springs, Wyo. 1896",,,,,,,,,,,,,,,,,,,,,,,animals,parades & fairs,,,,,,,,,,,,,Parade scenes with Dragon (Chinese),,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1896,Image,jpeg,RME2-24,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Other,,,,,,,,,,,,,,,,,,,,1900s,1890s,,,,,,,,,,
Colorado Coal Project,"Rock Spgs, Wyo. 1896",,,,,,,,,,,,,,,,,,,,,,,miners,street scene,,,,ethnic groups,,,,,,,,,CU. Chinese men on street.,,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1896,Image,jpeg,RME2-26,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1890s,,,,,,,,,,,
Colorado Coal Project,"Rock Spgs, Wyo. 1896",,,,,,,,,,,,,,,,,,,,,,,miners,street scene,,,,ethnic groups,,,,,,,,,CU. Chinese men on street.,,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1896,Image,jpeg,RME2-27,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1890s,,,,,,,,,,,
Colorado Coal Project,"Rock Springs, Wyo. 1896",,,,,,,,,,,,,,,,,,,,,,,children,ethnic groups,,,,,,,,,,,,,"Parade Scenes, Chinatown",,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1896,Image,jpeg,RME2-29,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1890s,,,,,,,,,,,
Colorado Coal Project,"Rock Springs, Wyo. 1896",,,,,,,,,,,,,,,,,,,,,,,animals,parades & fairs,,,,,,,,,,,,,Parade scenes with Dragon (Chinese),,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1896,Image,jpeg,RME2-3,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Other,,,,,,,,,,,,,,,,,,,,1900s,1890s,,,,,,,,,,
Colorado Coal Project,"Rock Springs, Wyo. 1896",,,,,,,,,,,,,,,,,,,,,,,children,ethnic groups,,,,,,,,,,,,,"Parade Scenes, Chinatown",,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1896,Image,jpeg,RME2-30,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1890s,,,,,,,,,,,
Colorado Coal Project,"Rock Springs, Wyo. 1896",,,,,,,,,,,,,,,,,,,,,,,children,ethnic groups,,,,,,,,,,,,,"Parade Scenes, Chinatown",,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1896,Image,jpeg,RME2-32,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1890s,,,,,,,,,,,
Colorado Coal Project,"Rock Springs, Wyo. 1896",,,,,,,,,,,,,,,,,,,,,,,children,ethnic groups,,,,,,,,,,,,,"Parade Scenes, Chinatown",,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1896,Image,jpeg,RME2-33,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1890s,,,,,,,,,,,
Colorado Coal Project,"Rock Springs, Wyo. 1896",,,,,,,,,,,,,,,,,,,,,,,animals,parades & fairs,,,,,,,,,,,,,Parade scenes with Dragon (Chinese),,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1896,Image,jpeg,RME2-34,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Other,,,,,,,,,,,,,,,,,,,,1900s,1890s,,,,,,,,,,
Colorado Coal Project,"Rock Springs, Wyo. 1896",,,,,,,,,,,,,,,,,,,,,,,animals,parades & fairs,,,,,,,,,,,,,Parade scenes with Dragon (Chinese),,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1896,Image,jpeg,RME2-35,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Other,,,,,,,,,,,,,,,,,,,,1900s,1890s,,,,,,,,,,
Colorado Coal Project,"RK. Spgs, Wyo. 1896",,,,,,,,,,,,,,,,,,,,,,,men (non-miners),women,,,,churches,ethnic groups,,,,,,,,"Rev. H.N. Smith, Congregational Church served 5 yrs in China town. MS Rev. with 2 women + 1 man.",,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1896,Image,jpeg,RME2-5,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1890s,,,,,,,,,,,
Colorado Coal Project,"RK. Spgs, Wyo. 1896",,,,,,,,,,,,,,,,,,,,,,,men (non-miners),women,,,,churches,ethnic groups,,,,,,,,"Rev. H.N. Smith, Congregational Church served 5 yrs in China town. MS Rev. with 2 women + 1 man.",,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1896,Image,jpeg,RME2-9,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1890s,,,,,,,,,,,
Colorado Coal Project,"U.P. Coal Co,. Mag. Rock Springs 1928",,,,,,,,,,,,,,,,,,,,,,,daily life,women,,,,parades & fairs,families,ethnic groups,,,,,,,Slovanian Family in Native costumes at handcraft exhibit,,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1928,Image,jpeg,RME20-10,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1920s,,,,,,,,,,,
Colorado Coal Project,"U.P. Coal Co,. Mag. Rock Springs 1928",,,,,,,,,,,,,,,,,,,,,,,daily life,women,,,,parades & fairs,families,ethnic groups,,,,,,,Slovanian Family in Native costumes at handcraft exhibit,,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1928,Image,jpeg,RME20-11,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1920s,,,,,,,,,,,
Colorado Coal Project,"U.P. Coal Co,. Mag. Rock Springs 1928",,,,,,,,,,,,,,,,,,,,,,,daily life,women,,,,parades & fairs,families,ethnic groups,,,,,,,Slovanian Family in Native costumes at handcraft exhibit,,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1928,Image,jpeg,RME20-12,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1920s,,,,,,,,,,,
Colorado Coal Project,"U.P. Coal Co,. Mag. Rock Springs 1928",,,,,,,,,,,,,,,,,,,,,,,daily life,women,,,,parades & fairs,families,ethnic groups,,,,,,,Slovanian Family in Native costumes at handcraft exhibit,,,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1928,Image,jpeg,RME20-15,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1920s,,,,,,,,,,,
Colorado Coal Project,"Rock Springs, Wyo. 1929",,,,,,,,,,,,,,,,,,,,,,,women,"medical care, rescue teams/safety",,,,children's activities,parades & fairs,,,,,,,,interior,,Girl Scouts & Nurses singing Xmas Carrols,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1929,Image,jpeg,RME20-16,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1920s,,,,,,,,,,,
Colorado Coal Project,"Rock Springs, Wyo. 1929",,,,,,,,,,,,,,,,,,,,,,,women,"medical care, rescue teams/safety",,,,children's activities,parades & fairs,,,,,,,,interior,,Girl Scouts & Nurses singing Xmas Carrols,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1929,Image,jpeg,RME20-17,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1920s,,,,,,,,,,,
Colorado Coal Project,"Rock Springs, Wyo. 1929",,,,,,,,,,,,,,,,,,,,,,,parades & fairs,children's activities,,,,,,,,,,,,,interior,,pictorial interest,,Boy repairing toys at Santas workshop,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1929,Image,jpeg,RME20-18,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1920s,,,,,,,,,,,
Colorado Coal Project,"Rock Springs, Wyo. 1929",,,,,,,,,,,,,,,,,,,,,,,parades & fairs,children's activities,,,,,,,,,,,,,interior,,pictorial interest,,Boy repairing toys at Santas workshop,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1929,Image,jpeg,RME20-19,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1920s,,,,,,,,,,,
Colorado Coal Project,"Superior, Wyo 1928",,,,,,,,,,,,,,,,,,,,,,,daily life,women,,,,co. stores,,,,,,,,,interior,,U.P. Coal Co. Store interior + exterior views,,,,,,,University of Colorado Boulder Archives,,,,,,,,,,,,,,,,,,,1928,Image,jpeg,RME20-2,Colorado Coal Project Collection,,,,,,,,,,,,,,,,,,,,Southern Wyoming,,,,,,,,,,,,,,,,,,,,1920s,,,,,,,,,,,
